p_swp,H2_dec_0,H2_dec_1,H2_dec_2,H2_enm_0,H2_enm_1,H2_enm_2
0.09,11.279238132983,42.6221696974556,73.2888815621212,10.6835771180328,30.7135187737349,38.1030665937995
0.095,10.980994696274,41.2977747232172,70.0531235259463,10.4044364549223,29.7670704543855,36.9115252892622
0.1,10.705476860215,40.1029562882198,67.2630456572718,10.1466491751915,28.9012110388771,35.8215497173874
0.11,10.2120860922695,38.0304838133161,62.667220339973,9.68524115645238,27.3704133908703,33.8947834569081
0.12,9.78193659831967,36.2858934027402,59.0121606433817,9.28324322578696,26.0558816563661,32.2404974505884
0.13,9.40260524793193,34.7911552280883,56.0158649608777,8.92897649214793,24.9116957698018,30.8008020916523
0.14,9.06484500778449,33.4915812242799,53.4993935973484,8.61374026219025,23.9044785769042,29.5336286019663
0.15,8.76159191566475,32.3477302456877,51.3474857952331,8.3309019557069,23.0093130314812,28.4075765428145
0.16,8.48736854980094,31.3308064882653,49.4788796587312,8.07530532994528,22.2071735925381,27.3986738502374
0.17,8.23782398920309,30.4183715612776,47.8358909149395,7.84287329881484,21.4832506203499,26.4882628445074
0.18,8.00948582946417,29.5939785683608,46.3763475274934,7.63033398316683,20.8258222636991,25.6615778784302
0.19,7.79951861227342,28.8438321671824,45.0663190782403,7.43502721755647,20.2254745922753,24.906761761468
0.2,7.60559886850599,28.1574449022886,43.8837953703762,7.25476500318349,19.6745493820368,24.214169539254
0.21,7.42578167170536,27.5260226682474,42.807130072864,7.0877289900342,19.1667451986223,23.5758660545988
0.22,7.25845739856147,26.9427343246745,41.8223912751101,6.9323939038561,18.6968238751076,22.9852555524233
0.23,7.10223414225678,26.4012992750797,40.9164876765672,6.78746951596443,18.26039108642,22.4368051277857
0.24,6.95594825357286,25.8972323339972,40.0784260901235,6.651856050458,17.8537294581227,21.9258347906452
0.25,6.81859389413153,25.4260455566652,39.3008338161167,6.52460946660742,17.473670667822,21.4483559671107
0.26,6.68930565346613,24.9843550977612,38.576461782701,6.40491441682025,17.1174955468752,21.0009458748157
0.27,6.56732268971465,24.5692792814201,37.8988540307517,6.29206225926314,16.7828557632523,20.5806486251103
0.28,6.45199664492652,24.1780772795405,37.2638910647588,6.18543396400367,16.4677113426345,20.1848966735189
0.29,6.34273610295386,23.8084825210449,36.6659238601323,6.08448604771188,16.1702806883529,19.8114478352866
0.3,6.23903989082925,23.4587482797797,36.1025126284919,5.98873892105779,15.8890001377527,19.4583342849145
0.31,6.14043551801925,23.1266973727803,35.5692330451555,5.89776792432889,15.6224908737238,19.1238210375005
0.32,6.04653844906465,22.8111546567691,35.0641351577196,5.81119513841024,15.3695319827267,18.8063717146989
0.33,5.95699344857023,22.5107708960471,34.5847236698294,5.72868316006871,15.1290379349001,18.5046205504015
0.34,5.87146599155117,22.2241581012743,34.1288321842209,5.64992965520437,14.9000399307616,18.2173486168391
0.35,5.78966522097549,21.9504761119593,33.6940688132511,5.57466279804011,14.6816704175885,17.9434645025716
0.36,5.71133500862373,21.6887160954345,33.2790358610605,5.5026374518156,14.4731498210353,17.6819874815402
0.37,5.6362356272141,21.4380219507624,32.8821467057089,5.43363186768374,14.2737755032313,17.4320336987243
0.38,5.56415985912906,21.1975093034747,32.5023071706306,5.36744490431933,14.0829122990367,17.1928042324639
0.39,5.4949090561578,20.9665163277503,32.1377736704587,5.30389363300919,13.8999844449065,16.9635749051085
0.4,5.42829599137711,20.7445269179764,31.7881261068,5.24281127144518,13.7244686545647,16.7436875313543
0.42,5.30237166749374,20.3249603321353,31.1281138471528,5.12745640212781,13.393807527262,16.3295923985126
0.44,5.18525182628565,19.9348721717815,30.5155755212256,5.0203067203137,13.0875846869133,15.9463134517876
0.46,5.07595031284375,19.5709246704436,29.9447216682198,4.92045428200125,12.8029874860886,15.5903141257105
0.48,4.97365978777273,19.2302004060066,29.4106915853762,4.827125393434,12.5376314080984,15.2585965566523
0.5,4.8776502007186,18.9101664595683,28.9096452385188,4.73965600363644,12.2894801381615,14.9486009959465
0.52,4.7873182448916,18.608919268769,28.4381156389006,4.65747269060772,12.0567831978756,14.6581271498969
0.54,4.70213737085416,18.3246185632922,27.9929536539318,4.58007728247467,11.8380265457806,14.385272227949
0.56,4.62163987505911,18.0557278364401,27.5719130635002,4.5070346585103,11.6318932820084,14.1283813147297
0.58,4.54541503624004,17.8008062540642,27.1725535492067,4.43796284204483,11.4372320188758,13.8860076529477
0.6,4.47308633230161,17.5585428838081,26.7929775856407,4.37252497030167,11.2530312057792,13.6568802501425
0.62,4.40436997043389,17.3281732390812,26.4317275526217,4.31042264494211,11.0783981518064,13.4398775971073
0.64,4.33895757087353,17.108603201524,26.0871279122568,4.2513905385297,10.9125417647931,13.2340057940599
0.66,4.27661089797663,16.8989632029349,25.7576330564327,4.19519171628813,10.7547582395619,13.0383806816755
0.68,4.21706312104279,16.6985653847594,25.4419763953529,4.14161396841814,10.6044191406708,12.8522127364133
0.7,4.16014459484854,16.5066291506562,25.1398934290159,4.0904665789253,10.4609613943515,12.6747945207551
0.72,4.10566801891366,16.3227447773124,24.8498601242356,4.04157749576516,10.3238788589109,12.5054900537399
0.74,4.05346388806341,16.1461921121049,24.5712739810776,3.99479119287608,10.1927151924914,12.3437258676425
0.76,4.00338593913043,15.9767579372484,24.3029063133509,3.94996658583374,10.0670577566094,12.1889832881513
0.78,3.955306672982,15.8134389389698,24.0443311452496,3.90697548009326,9.94653242479634,12.0407919311145
0.8,3.90906208803221,15.6563235971591,23.7953512118808,3.86570093577778,9.83079911383325,11.8987240664758
0.82,3.86456615704255,15.5049700281864,23.5547852207773,3.82603613840789,9.719547930882,11.7623897750312
0.84,3.82175083600425,15.3588944773919,23.3225603443284,3.78788327434343,9.61249583988984,11.6314327473348
0.86,3.78040745748692,15.2178821428151,23.0983200439294,3.75115258243912,9.50938376568513,11.5055266441382
0.88,3.74053890499068,15.081714313666,22.8804457285917,3.71576152107546,9.40997406701208,11.3843719170002
0.9,3.70211079655965,14.9499268446594,22.6694424000609,3.68163404198103,9.31404832800311,11.2676930345653
0.92,3.66487368382179,14.8223350291125,22.464894757305,3.64869994850339,9.22140541981672,11.1552360456669
0.94,3.62891958691839,14.6986002637189,22.2671311522126,3.61689432919061,9.13185979509804,11.0467664300003
0.96,3.5941815465202,14.5792309605394,22.0758290299069,3.58615706359624,9.04523998251195,10.9420672256761
0.98,3.56062630862089,14.4638354274732,21.8897211817746,3.55643235973878,8.96138725506209,10.8409373426748
1,3.52767981853087,14.3499460297058,21.704897207721,3.5276684224907,8.88015444874725,10.7431900902638
